reporting_date,cohort_id,origination_date,fico_tier,interest_rate_type,npl_ratio,fdtr_index,unemployment_rate,inflation_rate,wage_growth
2020-02-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0169,,,,
2020-03-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0165,,,,
2020-04-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0189,,,,
2020-05-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0215,,,,
2020-06-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0188,,,,
2020-07-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0195,,,,
2020-08-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0239,,,,
2020-09-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.023,,,,
2020-10-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0211,,,,
2020-11-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0237,,,,
2020-12-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0223,,,,
2021-01-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0227,0.25,6.4,1.4,5.3
2021-02-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0245,0.25,6.2,1.7,5.3
2021-03-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0206,0.25,6.1,2.6,4.5
2021-04-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0212,0.25,6.1,4.2,0.6
2021-05-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0237,0.25,5.8,5.0,2.3
2021-06-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0229,0.25,5.9,5.4,3.9
2021-07-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0256,0.25,5.4,5.4,4.3
2021-08-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0231,0.25,5.1,5.3,4.4
2021-09-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.022,0.25,4.7,5.4,5.0
2021-10-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0276,0.25,4.5,6.2,5.4
2021-11-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0239,0.25,4.1,6.8,5.4
2021-12-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0242,0.25,3.9,7.0,4.9
2022-01-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0208,0.25,4.0,7.5,5.6
2022-02-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0221,0.25,3.9,7.9,5.3
2022-03-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0229,0.5,3.7,8.5,5.9
2022-04-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0198,0.5,3.7,8.3,5.8
2022-05-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0222,1.0,3.6,8.6,5.6
2022-06-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0195,1.75,3.6,9.1,5.4
2022-07-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0194,2.5,3.5,8.5,5.5
2022-08-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.018,2.5,3.6,8.3,5.4
2022-09-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0221,3.25,3.5,8.2,5.1
2022-10-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0176,3.25,3.6,7.7,5.0
2022-11-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0146,4.0,3.6,7.1,5.1
2022-12-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0175,4.5,3.5,6.5,4.9
2023-01-01,C_202001_P_F,2020-01-01,Prime,Fixed,0.0126,4.5,3.5,6.4,4.5
2020-02-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0163,,,,
2020-03-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0128,,,,
2020-04-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0149,,,,
2020-05-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0188,,,,
2020-06-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0207,,,,
2020-07-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0203,,,,
2020-08-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0205,,,,
2020-09-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0208,,,,
2020-10-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0191,,,,
2020-11-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0212,,,,
2020-12-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0223,,,,
2021-01-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0258,0.25,6.4,1.4,5.3
2021-02-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0248,0.25,6.2,1.7,5.3
2021-03-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0209,0.25,6.1,2.6,4.5
2021-04-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0253,0.25,6.1,4.2,0.6
2021-05-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0241,0.25,5.8,5.0,2.3
2021-06-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0236,0.25,5.9,5.4,3.9
2021-07-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0262,0.25,5.4,5.4,4.3
2021-08-01,C_202001_P_V,2020-01-01,Prime,Variable,0.027,0.25,5.1,5.3,4.4
2021-09-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0267,0.25,4.7,5.4,5.0
2021-10-01,C_202001_P_V,2020-01-01,Prime,Variable,0.023,0.25,4.5,6.2,5.4
2021-11-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0238,0.25,4.1,6.8,5.4
2021-12-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0247,0.25,3.9,7.0,4.9
