Date,FDTR Index,Date,USURTOT Index,Date,CPI YOY Index,Date,AHE YOY Index
1/29/2021,0.25,1/31/2021,6.4,1/31/2021,1.4,1/31/2021,5.3
2/26/2021,0.25,2/28/2021,6.2,2/28/2021,1.7,2/28/2021,5.3
3/31/2021,0.25,3/31/2021,6.1,3/31/2021,2.6,3/31/2021,4.5
4/30/2021,0.25,4/30/2021,6.1,4/30/2021,4.2,4/30/2021,0.6
5/31/2021,0.25,5/31/2021,5.8,5/31/2021,5,5/31/2021,2.3
6/30/2021,0.25,6/30/2021,5.9,6/30/2021,5.4,6/30/2021,3.9
7/30/2021,0.25,7/31/2021,5.4,7/31/2021,5.4,7/31/2021,4.3
8/31/2021,0.25,8/31/2021,5.1,8/31/2021,5.3,8/31/2021,4.4
9/30/2021,0.25,9/30/2021,4.7,9/30/2021,5.4,9/30/2021,5
10/29/2021,0.25,10/31/2021,4.5,10/31/2021,6.2,10/31/2021,5.4
11/30/2021,0.25,11/30/2021,4.1,11/30/2021,6.8,11/30/2021,5.4
12/31/2021,0.25,12/31/2021,3.9,12/31/2021,7,12/31/2021,4.9
1/31/2022,0.25,1/31/2022,4,1/31/2022,7.5,1/31/2022,5.6
2/28/2022,0.25,2/28/2022,3.9,2/28/2022,7.9,2/28/2022,5.3
3/31/2022,0.5,3/31/2022,3.7,3/31/2022,8.5,3/31/2022,5.9
4/29/2022,0.5,4/30/2022,3.7,4/30/2022,8.3,4/30/2022,5.8
5/31/2022,1,5/31/2022,3.6,5/31/2022,8.6,5/31/2022,5.6
6/30/2022,1.75,6/30/2022,3.6,6/30/2022,9.1,6/30/2022,5.4
7/29/2022,2.5,7/31/2022,3.5,7/31/2022,8.5,7/31/2022,5.5
8/31/2022,2.5,8/31/2022,3.6,8/31/2022,8.3,8/31/2022,5.4
9/30/2022,3.25,9/30/2022,3.5,9/30/2022,8.2,9/30/2022,5.1
10/31/2022,3.25,10/31/2022,3.6,10/31/2022,7.7,10/31/2022,5
11/30/2022,4,11/30/2022,3.6,11/30/2022,7.1,11/30/2022,5.1
12/30/2022,4.5,12/31/2022,3.5,12/31/2022,6.5,12/31/2022,4.9
1/31/2023,4.5,1/31/2023,3.5,1/31/2023,6.4,1/31/2023,4.5
2/28/2023,4.75,2/28/2023,3.6,2/28/2023,6,2/28/2023,4.8
3/31/2023,5,3/31/2023,3.5,3/31/2023,5,3/31/2023,4.6
4/28/2023,5,4/30/2023,3.4,4/30/2023,4.9,4/30/2023,4.6
5/31/2023,5.25,5/31/2023,3.6,5/31/2023,4,5/31/2023,4.4
6/30/2023,5.25,6/30/2023,3.6,6/30/2023,3,6/30/2023,4.7
7/31/2023,5.5,7/31/2023,3.5,7/31/2023,3.2,7/31/2023,4.7
8/31/2023,5.5,8/31/2023,3.7,8/31/2023,3.7,8/31/2023,4.5
9/29/2023,5.5,9/30/2023,3.7,9/30/2023,3.7,9/30/2023,4.4
10/31/2023,5.5,10/31/2023,3.9,10/31/2023,3.2,10/31/2023,4.2
11/30/2023,5.5,11/30/2023,3.7,11/30/2023,3.1,11/30/2023,4.1
12/29/2023,5.5,12/31/2023,3.8,12/31/2023,3.4,12/31/2023,4.1
1/31/2024,5.5,1/31/2024,3.7,1/31/2024,3.1,1/31/2024,4.4
2/29/2024,5.5,2/29/2024,3.9,2/29/2024,3.2,2/29/2024,4.1
3/29/2024,5.5,3/31/2024,3.9,3/31/2024,3.5,3/31/2024,4.1
4/30/2024,5.5,4/30/2024,3.9,4/30/2024,3.4,4/30/2024,4
5/31/2024,5.5,5/31/2024,3.9,5/31/2024,3.3,5/31/2024,4.1
6/28/2024,5.5,6/30/2024,4.1,6/30/2024,3,6/30/2024,3.9
7/31/2024,5.5,7/31/2024,4.2,7/31/2024,2.9,7/31/2024,3.6
8/30/2024,5.5,8/31/2024,4.2,8/31/2024,2.5,8/31/2024,3.9
9/30/2024,5,9/30/2024,4.1,9/30/2024,2.4,9/30/2024,3.9
10/31/2024,5,10/31/2024,4.1,10/31/2024,2.6,10/31/2024,4
11/29/2024,4.75,11/30/2024,4.2,11/30/2024,2.7,11/30/2024,4.2
12/31/2024,4.5,12/31/2024,4.1,12/31/2024,2.9,12/31/2024,4.1
